module_code,module_title,module_faculty,module_department,top_k_mean_sim,rank_top_k_sim,top_k_max_sim,top_k_min_sim,breadth_n_ssoc_groups,rank_breadth,coverage_n_jobs,coverage_pct,rank_coverage
BN1112,Introduction to Biomedical Design and Manufacturing,College of Design and Engineering,Biomedical Engineering,0.6690429449081421,347,0.73046875,0.64453125,4,7,1374,19.35,1402
EE4436E,Fabrication Process Technology,Cont and Lifelong Education,SCALE Dean's Office,0.668896496295929,348,0.68017578125,0.6591796875,2,9,874,12.31,1807
TEE4436,Fabrication Process Technology,Cont and Lifelong Education,SCALE Dean's Office,0.668896496295929,348,0.68017578125,0.6591796875,2,9,874,12.31,1807
SW4228HM,Social Work In Medical Setting,Arts and Social Science,Social Work,0.6687988042831421,349,0.72265625,0.626953125,2,9,1097,15.45,1621
SW4201,Theory Building in Social Work Practice,Arts and Social Science,Social Work,0.6687988042831421,349,0.71826171875,0.654296875,1,10,3550,49.99,333
SW4201HM,Theory Building in Social Work Practice,Arts and Social Science,Social Work,0.6687988042831421,349,0.71826171875,0.654296875,1,10,3550,49.99,333
SW4228,Social Work In Medical Setting,Arts and Social Science,Social Work,0.6687988042831421,349,0.72265625,0.626953125,2,9,1097,15.45,1621
GEN2003,Inclusivity and Equality: Domestic Worker Community,Arts and Social Science,"English,Ling.andTheatre Studies",0.668749988079071,350,0.70751953125,0.65234375,7,4,5498,77.43,34
NUR3501,"Professionalism, Ethics and Law in Healthcare",Yong Loo Lin Sch of Medicine,Alice Lee Center for Nursing Studies,0.668749988079071,350,0.69482421875,0.64794921875,2,9,2105,29.64,934
CH2273,Chinese Media in Singapore: Theory and Practice,Arts and Social Science,Chinese Studies,0.668701171875,351,0.6962890625,0.65087890625,7,4,2508,35.32,729
ETP3223,Globalization of New Ventures,Non-Faculty-based Departments,NUS Enterprise Academy,0.668701171875,351,0.671875,0.66796875,2,9,5671,79.86,24
TR3014,Globalization of New Ventures,Non-Faculty-based Departments,NUS Enterprise Academy,0.668701171875,351,0.671875,0.66796875,2,9,5671,79.86,24
CLC2204,Community Development With Youth,Non-Faculty-based Departments,Chua Thian Poh Comm Leader Center,0.668701171875,351,0.6708984375,0.66845703125,3,8,2961,41.7,534
GL3551,FASS Undergraduate Research Opportunity,Arts and Social Science,Political Science,0.668652355670929,352,0.70068359375,0.65576171875,3,8,3416,48.11,375
HY3551,FASS Undergraduate Research Opportunity,Arts and Social Science,History,0.668652355670929,352,0.70068359375,0.65576171875,3,8,3416,48.11,375
EE4436,Fabrication Process Technology,College of Design and Engineering,Electrical and Computer Engineering,0.6686035394668579,353,0.6787109375,0.65869140625,2,9,866,12.2,1814
CE2112,Soil Mechanics,College of Design and Engineering,Civil and Environmental Engineering,0.6685546636581421,354,0.724609375,0.6455078125,1,10,2036,28.67,975
ACC2707,Corporate Accounting & Reporting I,NUS Business School,Accounting,0.668505847454071,355,0.685546875,0.66064453125,4,7,4893,68.91,81
PC2020,Electromagnetics for Electrical Engineers,Science,Physics,0.66845703125,356,0.6806640625,0.66357421875,3,8,1043,14.69,1659
TEE2026,Digital Design,Cont and Lifelong Education,SCALE Dean's Office,0.668408215045929,357,0.68017578125,0.642578125,2,9,611,8.6,2051
MLE1112,Foundation Materials Science and Engineering 2,College of Design and Engineering,Materials Science and Engineering,0.668408215045929,357,0.7412109375,0.62646484375,3,8,1218,17.15,1518
EE2026,Digital Design,College of Design and Engineering,Electrical and Computer Engineering,0.668408215045929,357,0.68017578125,0.642578125,2,9,611,8.6,2051
FIN3120B,TIF: Transaction Banking,NUS Business School,Finance,0.6683593988418579,358,0.71142578125,0.6552734375,6,5,3818,53.77,262
IE3100R,Systems Design Project,College of Design and Engineering,Industrial Systems Engineering and Management,0.6683105230331421,359,0.693359375,0.6572265625,3,8,3510,49.43,344
GEH1063,"Understanding Body, Mind and Culture through Sport",Yong Loo Lin Sch of Medicine,Physiology,0.6683105230331421,359,0.673828125,0.65771484375,4,7,3926,55.29,238
CN4250,Chemical Product Design,College of Design and Engineering,Chemical and Biomolecular Engineering,0.668164074420929,360,0.69140625,0.6552734375,4,7,3561,50.15,329
ID2041,Design Internship,College of Design and Engineering,Industrial Design,0.668164074420929,360,0.68017578125,0.65185546875,3,8,3086,43.46,479
ID3106,Design Platforms 3,College of Design and Engineering,Industrial Design,0.6681152582168579,361,0.69140625,0.658203125,5,6,4502,63.4,138
TME4223,Thermal Environmental Engineering,Cont and Lifelong Education,SCALE Dean's Office,0.668017566204071,362,0.72216796875,0.64892578125,2,9,1263,17.79,1483
LC1015,Singapore Law in Context,Law,FoL Dean's Office,0.667919933795929,363,0.677734375,0.65673828125,1,10,1876,26.42,1062
